# Serbian;infinitive;present 3rd person sg.;preterite 3rd person sg.;past participle;modal verb;level
# =-=-=-= Gruppe A1
peći;backen;bäckt;buk;gebacken;h;b1
voziti se, putovati;fahren;fährt;fuhr;gefahren;i;a2
kopati, zariti, zabosti;graben;gräbt;grub;gegraben;h;c1
(u)tovariti, pozvati na sud, napuniti;laden;lädt;lud;geladen;h;a2
raditi, praviti, postići, savladati, uspeti;schaffen;schafft;schuf;geschaffen;h;b1
udariti;schlagen;schlägt;schlug;geschlagen;hi;a2
nositi;tragen;trägt;trug;getragen;h;a2
rasti;wachsen;wächst;wuchs;gewachsen;i;b1
prati (se), kupati (se);waschen;wäscht;wusch;gewaschen;hi;a2
# =-=-=-= Gruppe A2
duvati, svirati (duvački instrument);blasen;bläst;blies;geblasen;h;c1
peći, pržiti;braten;brät;briet;gebraten;h;b1
pasti, padati;fallen;fällt;fiel;gefallen;i;a2
držati, zaustaviti se, stati;halten;hält;hielt;gehalten;h;a2
ostaviti, dozvoliti, dopustiti, pustiti, dati (da se nešto uradi);lassen;lässt;ließ;gelassen;h;a2
savetovati;raten;rät;riet;geraten;h;b1
spavati;schlaffen;schläft;schlief;geschlafen;h;a2
# =-=-=-= Gruppe A3
primati, primiti, prihvatiti, dočekati, dočekivati, začeti;empfangen;empfängt;empfing;empfangen;h;b2
hvatati, uhvatiti, uloviti;fangen;fängt;fing;gefangen;h;a2
# =-=-=-= Gruppe B1
dogoditi se, događati se, desiti se;geschehen;geschieht;geschah;geschehen;i;b1
čitati, pročitati;lesen;liest;las;gelesen;h;a2
videti, gledati;sehen;sieht;sah;gesehen;h;a2
# =-=-=-= Gruppe B2
narediti, naređivati, zapovedati, komandovati;befehlen;befiehlt;befahl;befohlen;h;b1
preporučiti;empfehlen;empfiehlt;empfahl;empfohlen;h;a2
krasti;stehlen;stiehlt;stahl;gestohlen;h;a2
roditi;gebären;gebiert;gebar;geboren;h;b1
# =-=-=-= Gruppe B3
jesti;essen;isst;aß;gegessen;h;a2
jesti, žderati, nagrizati;fressen;frisst;fraß;gefressen;h;b1
ozdraviti, prezdraviti, preboleti;genesen;genest;genas;genesen;i;b2
dati, predati, prirediti, postojati;geben;gibt;gab;gegeben;h;a2
meriti, izmeriti, imati;messen;misst;maß;gemessen;h;b1
stati, prići, stupiti, ući;treten;tritt;trat;getreten;hi;a2
zaboraviti;vergessen;vergisst;vergaß;vergessen;h;a2
# =-=-=-= Gruppe B4
spasiti, izbaviti, sakriti, skloniti, sklanjati;bergen;birgt;barg;geborgen;h;b1
praskati, prsnuti, pući;bersten;birst;barst;geborsten;i;c2
slomiti, polomiti;brechen;bricht;brach;gebrochen;hi;a2
uplašiti se, preplašiti se;erschrecken;erschrickt;erschrak;erschrocken;hi;b1
važiti, vredeti, valjati, odnositi se na;gelten;gilt;galt;gegolten;h;b1
pomoći, pomagati;helfen;hilft;half;geholfen;h;a2
uzeti;nehmen;nimmt;nahm;genommen;h;a2
grditi, koriti, karati;schelten;schilt;schalt;gescholten;h;c2
govoriti, razgovarati, reći;sprechen;spricht;sprach;gesprochen;h;a2
bosti, ubosti (se), klati (svinje), kopati, seći, vaditi (salatu), tetovirati;stechen;sticht;stach;gestochen;hi;b1
umreti;sterben;stirbt;starb;gestorben;i;b1
sresti, pogoditi, zadesiti, snaći;treffen;trifft;traf;getroffen;hi;a2
pokvariti (se);verderben;verdirbt;verdarb;verdorben;hi;c1
