# =-=-=-= B2.1 Lektion 2
objasniti;erläutern;erläutert;erläuterte;erläutern;h
istražiti, istraživati;forschen;forscht;forschte;geforscht;h
vezati;knüpfen;knüpft;knüpfte;geknüpft;h
socijalizovati se;Kontakte knüpfen;knüpft;knüpfte;geknüpft;h
preovladati, preovlađivati;sich durchsetzen;sich durchsetzt;sich durchsetzte;sich durchgesetzt;h
poticati od;stammen von;stammt von;stammte von;gestammt von;h
osećati;spüren;spürt;spürte;gespürt;h
ispuniti, ostvariti;erfüllen;erfüllt;erfüllte;erfüllt;h
ostaviti za sobom, zaveštati;hinterlassen;hinterlässt;hinterließ;hinterlassen;h
utrostručiti;verdreifachen;verdreifacht;verdreifachte;verdreifacht;h
držati u toku, informisati;am Laufen halten;hält;hielt;gehalten;h
ljuljati se, klatiti se, (kol.) putovati;pendeln;pendelt;pendelte;gependelt;hi
napuniti, utovariti, napuniti;aufladen;lädt auf;lud auf;aufgeladen;hi
brinuti se o, pobrinuti se o, razmotriti;sich befassen mit;sich befasst;sich befasste;sich befasst;h
spomenuti;erwähnen;erwähnt;erwähnte;erwähnt;h
grickati;naschen;nascht;naschte;genascht;h
